series_id,game_number,best_of_by_team
0173ec39042ad1c136877248f4687e80,1,"{""ATK"": 7, ""DNMK ESPORTS"": 5}"
0173ec39042ad1c136877248f4687e80,2,"{""ATK"": 7, ""DNMK ESPORTS"": 5}"
0173ec39042ad1c136877248f4687e80,3,"{""ATK"": 7, ""DNMK ESPORTS"": 5}"
0173ec39042ad1c136877248f4687e80,4,"{""ATK"": 7, ""DNMK ESPORTS"": 5}"
082a2a17e77b43681bae2f2919602cd0,1,"{""DIGITAL DEVILS"": 7, ""NIBBLE ESPORTS"": 5}"
082a2a17e77b43681bae2f2919602cd0,2,"{""DIGITAL DEVILS"": 7, ""NIBBLE ESPORTS"": 5}"
082a2a17e77b43681bae2f2919602cd0,3,"{""DIGITAL DEVILS"": 7, ""NIBBLE ESPORTS"": 5}"
082a2a17e77b43681bae2f2919602cd0,4,"{""DIGITAL DEVILS"": 7, ""NIBBLE ESPORTS"": 5}"
2986175bf86aa019d796fcea9c6ae754,1,"{""AIPX GAMING"": 5, ""DIGITAL DEVILS"": 7}"
2986175bf86aa019d796fcea9c6ae754,2,"{""AIPX GAMING"": 5, ""DIGITAL DEVILS"": 7}"
2986175bf86aa019d796fcea9c6ae754,3,"{""AIPX GAMING"": 5, ""DIGITAL DEVILS"": 7}"
2986175bf86aa019d796fcea9c6ae754,4,"{""AIPX GAMING"": 5, ""DIGITAL DEVILS"": 7}"
3bbdd987a7ed7ad9385e4eb49d17cc2a,1,"{""DNMK ESPORTS"": 7, ""TEAM ESPIONAGE"": 5}"
3bbdd987a7ed7ad9385e4eb49d17cc2a,2,"{""DNMK ESPORTS"": 7, ""TEAM ESPIONAGE"": 5}"
3bbdd987a7ed7ad9385e4eb49d17cc2a,3,"{""DNMK ESPORTS"": 7, ""TEAM ESPIONAGE"": 5}"
3bbdd987a7ed7ad9385e4eb49d17cc2a,4,"{""DNMK ESPORTS"": 7, ""TEAM ESPIONAGE"": 5}"
3bbdd987a7ed7ad9385e4eb49d17cc2a,5,"{""DNMK ESPORTS"": 7, ""TEAM ESPIONAGE"": 5}"
3bbdd987a7ed7ad9385e4eb49d17cc2a,6,"{""DNMK ESPORTS"": 7, ""TEAM ESPIONAGE"": 5}"
7c34ec6e8061dea8ce2ffec87397be67,1,"{""TEAM ESPIONAGE"": 5, ""ROYALTY ESPORTS"": 7}"
7c34ec6e8061dea8ce2ffec87397be67,2,"{""TEAM ESPIONAGE"": 5, ""ROYALTY ESPORTS"": 7}"
7c34ec6e8061dea8ce2ffec87397be67,3,"{""TEAM ESPIONAGE"": 5, ""ROYALTY ESPORTS"": 7}"
7c34ec6e8061dea8ce2ffec87397be67,4,"{""TEAM ESPIONAGE"": 5, ""ROYALTY ESPORTS"": 7}"
cbee2413183265f9b5ba0ad8c47099c9,1,"{""AIPX GAMING"": 5, ""ROYALTY ESPORTS"": 7}"
cbee2413183265f9b5ba0ad8c47099c9,2,"{""AIPX GAMING"": 5, ""ROYALTY ESPORTS"": 7}"
cbee2413183265f9b5ba0ad8c47099c9,3,"{""AIPX GAMING"": 7, ""ROYALTY ESPORTS"": 7}"
cbee2413183265f9b5ba0ad8c47099c9,4,"{""AIPX GAMING"": 7, ""ROYALTY ESPORTS"": 7}"
cbee2413183265f9b5ba0ad8c47099c9,5,"{""AIPX GAMING"": 7, ""ROYALTY ESPORTS"": 7}"
cbee2413183265f9b5ba0ad8c47099c9,6,"{""AIPX GAMING"": 7, ""ROYALTY ESPORTS"": 7}"
cbee2413183265f9b5ba0ad8c47099c9,7,"{""AIPX GAMING"": 7, ""ROYALTY ESPORTS"": 7}"
f74324356f173b9d23072fc1df9192d2,1,"{""FRENCH CLASS"": 7, ""ORLANDO PIRATES"": 7}"
f74324356f173b9d23072fc1df9192d2,2,"{""FRENCH CLASS"": 7, ""ORLANDO PIRATES"": 7}"
f74324356f173b9d23072fc1df9192d2,3,"{""FRENCH CLASS"": 7, ""ORLANDO PIRATES"": 7}"
f74324356f173b9d23072fc1df9192d2,4,"{""FRENCH CLASS"": 7, ""ORLANDO PIRATES"": 7}"
